Rank,Player,Team,Bye,POS,Yahoo,Fantrax,FFC,Sleeper,AVG
1,Christian McCaffrey,CAR,13,RB1,1,1,1,1,1
2,Dalvin Cook,MIN,7,RB2,2,2,2,2,2
3,Derrick Henry,TEN,13,RB3,3,3,3,3,3
4,Alvin Kamara,NO,6,RB4,4,4,4,4,4
5,Ezekiel Elliott,DAL,7,RB5,5,5,5,6,5.3
6,Nick Chubb,CLE,13,RB6,6,6,8,7,6.8
7,Saquon Barkley,NYG,10,RB7,7,9,9,5,7.5
8,Aaron Jones,GB,13,RB8,9,11,6,10,9
9,Jonathan Taylor,IND,14,RB9,10,7,12,8,9.3
10,Davante Adams,GB,13,WR1,12,8,7,11,9.5
11,Tyreek Hill,KC,12,WR2,8,12,13,9,10.5
12,Travis Kelce,KC,12,TE1,11,10,10,12,10.8
13,Austin Ekeler,LAC,7,RB10,15,13,11,13,13
14,Stefon Diggs,BUF,7,WR3,13,14,16,14,14.3
15,Najee Harris,PIT,7,RB11,16,16,14,16,15.5
16,Antonio Gibson,WAS,9,RB12,17,15,15,19,16.5
17,DeAndre Hopkins,ARI,12,WR4,19,17,19,15,17.5
18,Patrick Mahomes II,KC,12,QB1,14,19,22,21,19
19,D.K. Metcalf,SEA,9,WR5,21,18,21,17,19.3
20,Joe Mixon,CIN,10,RB13,22,20,18,18,19.5
21,Calvin Ridley,ATL,6,WR6,18,21,20,20,19.8
22,Clyde Edwards-Helaire,KC,12,RB14,24,22,17,22,21.3
23,A.J. Brown,TEN,13,WR7,23,23,26,23,23.8
24,Justin Jefferson,MIN,7,WR8,20,24,25,27,24
25,Darren Waller,LV,8,TE2,26,25,24,26,25.3
26,J.K. Dobbins,BAL,8,RB15,27,27,23,25,25.5
27,George Kittle,SF,6,TE3,30,26,31,24,27.8
28,Keenan Allen,LAC,7,WR9,32,28,30,28,29.5
29,David Montgomery,CHI,10,RB16,33,29,28,30,30
30,Chris Carson,SEA,9,RB17,34,31,27,32,31
31,Terry McLaurin,WAS,9,WR10,28,34,32,31,31.3
32,Josh Jacobs,LV,8,RB18,38,30,29,33,32.5
33,Josh Allen,BUF,7,QB2,29,33,37,35,33.5
34,Allen Robinson II,CHI,10,WR11,31,35,36,34,34
35,D'Andre Swift,DET,9,RB19,41,32,35,29,34.3
36,CeeDee Lamb,DAL,7,WR12,35,36,33,37,35.3
37,Mike Evans,TB,9,WR13,37,38,40,36,37.8
38,Miles Sanders,PHI,14,RB20,39,37,38,38,38
39,Kyler Murray,ARI,12,QB3,46,40,42,39,41.8
40,Chris Godwin,TB,9,WR14,36,43,48,42,42.3
41,Robert Woods,LAR,11,WR15,43,42,41,44,42.5
42,Julio Jones,TEN,13,WR16,47,41,44,40,43
43,Amari Cooper,DAL,7,WR17,45,44,46,43,44.5
44,Darrell Henderson,LAR,11,RB21,42,68,34,41,46.3
45,Lamar Jackson,BAL,8,QB4,40,50,51,45,46.5
46,Cooper Kupp,LAR,11,WR18,44,48,49,48,47.3
47,Kyle Pitts,ATL,6,TE4,48,55,47,46,49
48,Myles Gaskin,MIA,14,RB22,56,45,45,51,49.3
49,Adam Thielen,MIN,7,WR19,52,46,53,52,50.8
50,Kareem Hunt,CLE,13,RB23,57,47,50,50,51
51,Tyler Lockett,SEA,9,WR20,51,49,54,53,51.8
52,Mark Andrews,BAL,8,TE5,50,56,57,49,53
53,James Robinson,JAC,7,RB24,67,39,39,68,53.3
54,Mike Davis,ATL,6,RB25,63,54,43,57,54.3
55,D.J. Moore,CAR,13,WR21,54,51,65,47,54.3
56,Diontae Johnson,PIT,7,WR22,62,52,52,54,55
57,T.J. Hockenson,DET,9,TE6,49,62,56,55,55.5
58,Dak Prescott,DAL,7,QB5,53,53,61,56,55.8
59,Russell Wilson,SEA,9,QB6,55,58,68,60,60.3
60,Justin Herbert,LAC,7,QB7,59,65,64,58,61.5
61,Brandon Aiyuk,SF,6,WR23,61,63,58,64,61.5
62,Chase Edmonds,ARI,12,RB26,68,67,59,63,64.3
63,Aaron Rodgers,GB,13,QB8,60,61,67,70,64.5
64,Javonte Williams,DEN,11,RB27,82,57,60,65,66
65,Kenny Golladay,NYG,10,WR24,77,60,73,59,67.3
66,Raheem Mostert,SF,6,RB28,80,64,55,72,67.8
67,Tee Higgins,CIN,10,WR25,72,66,69,66,68.3
68,Odell Beckham Jr.,CLE,13,WR26,69,69,70,67,68.8
69,Ja'Marr Chase,CIN,10,WR27,78,59,78,61,69
70,Chase Claypool,PIT,7,WR28,73,70,66,69,69.5
71,Ronald Jones II,TB,9,RB29,70,75,75,73,73.3
72,Michael Thomas,NO,6,WR29,95,74,63,62,73.5
73,Damien Harris,NE,14,RB30,75,77,62,82,74
74,Tom Brady,TB,9,QB9,64,79,80,84,76.8
75,Melvin Gordon III,DEN,11,RB31,98,72,72,71,78.3
76,JuJu Smith-Schuster,PIT,7,WR30,91,73,88,75,81.8
77,Noah Fant,DEN,11,TE7,88,87,81,77,83.3
78,Jerry Jeudy,DEN,11,WR31,99,81,76,78,83.5
79,Robby Anderson,CAR,13,WR32,87,78,90,80,83.8
80,Trey Sermon,SF,6,RB32,86,99,71,83,84.8
81,Courtland Sutton,DEN,11,WR33,101,83,83,74,85.3
82,Logan Thomas,WAS,9,TE8,89,90,74,92,86.3
83,Deebo Samuel,SF,6,WR34,90,84,92,81,86.8
84,Leonard Fournette,TB,9,RB33,93,82,86,86,86.8
85,Michael Carter,NYJ,6,RB34,103,86,77,87,88.3
86,Dallas Goedert,PHI,14,TE9,79,108,89,79,88.8
87,DeVonta Smith,PHI,14,WR35,116,71,84,85,89
88,Jalen Hurts,PHI,14,QB10,71,95,99,96,90.3
89,D.J. Chark Jr.,JAC,7,WR36,108,80,98,76,90.5
90,Tyler Boyd,CIN,10,WR37,107,76,101,88,93
91,Matthew Stafford,LAR,11,QB11,100,94,87,91,93
92,Ryan Tannehill,TEN,13,QB12,94,88,93,98,93.3
93,Zack Moss,BUF,7,RB35,105,102,79,90,94
94,AJ Dillon,GB,13,RB36,109,89,82,104,96
95,Antonio Brown,TB,9,WR38,110,92,85,103,97.5
96,Robert Tonyan,GB,13,TE10,85,112,100,95,98
97,James Conner,ARI,12,RB37,111,91,91,101,98.5
98,Brandin Cooks,HOU,10,WR39,113,93,107,89,100.5
99,David Johnson,HOU,10,RB38,102,116,96,93,101.8
100,Los Angeles Rams,DST,11,DST1,66,104,115,129,103.5
101,Tyler Higbee,LAR,11,TE11,65,128,114,108,103.8
102,Jarvis Landry,CLE,13,WR40,124,85,119,94,105.5
103,Kenyan Drake,LV,8,RB39,121,96,103,105,106.3
104,Will Fuller V,MIA,14,WR41,122,98,109,97,106.5
105,Pittsburgh Steelers,DST,7,DST2,83,103,111,131,107
106,Devin Singletary,BUF,7,RB40,130,101,94,112,109.3
107,Joe Burrow,CIN,10,QB13,115,97,113,113,109.5
108,Gus Edwards,BAL,8,RB41,119,111,95,114,109.8
109,Mike Gesicki,MIA,14,TE12,117,134,97,106,113.5
110,Laviska Shenault Jr.,JAC,7,WR42,153,100,102,100,113.8
111,Corey Davis,NYJ,6,WR43,125,106,118,110,114.8
112,Rob Gronkowski,TB,9,TE13,112,117,122,109,115
113,Washington Football Team,DST,9,DST3,74,135,125,128,115.5
114,Tampa Bay Buccaneers,DST,9,DST4,84,127,128,127,116.5
115,Mike Williams,LAC,7,WR44,129,114,116,107,116.5
116,Jaylen Waddle,MIA,14,WR45,150,107,112,99,117
117,Curtis Samuel,WAS,9,WR46,131,105,135,102,118.3
118,Jamaal Williams,DET,9,RB42,128,119,104,124,118.8
119,Baltimore Ravens,DST,8,DST5,92,124,141,130,121.8
120,Tony Pollard,DAL,7,RB43,155,121,105,120,125.3
121,Michael Gallup,DAL,7,WR47,132,109,143,117,125.3
122,Justin Tucker,BAL,8,K1,76,132,151,152,127.8
123,Harrison Butker,KC,12,K2,81,138,146,153,129.5
124,Michael Pittman Jr.,IND,14,WR48,194,110,106,111,130.3
125,Trevor Lawrence,JAC,7,QB14,135,142,129,115,130.3
126,Nyheim Hines,IND,14,RB44,165,120,123,123,132.8
127,Irv Smith Jr.,MIN,7,TE14,133,137,148,119,134.3
128,Henry Ruggs III,LV,8,WR49,162,130,124,121,134.3
129,San Francisco 49ers,DST,6,DST6,96,156,153,134,134.8
130,Marquise Brown,BAL,8,WR50,171,115,142,116,136
131,Mecole Hardman,KC,12,WR51,168,139,117,122,136.5
132,Darnell Mooney,CHI,10,WR52,177,131,121,118,136.8
133,Matt Ryan,ATL,6,QB15,142,129,132,146,137.3
134,Younghoe Koo,ATL,6,K3,97,149,154,154,138.5
