16:14:57 | Draft Starting
16:14:57 | able to open file
16:14:57 | able to open file
16:14:57 | able to open file
16:14:57 | able to open file
16:14:57 | able to open file
16:14:57 | able to open file
16:14:57 | able to open file
16:14:57 | able to open file
16:14:57 | Socket open on 7095! Listening...
16:14:57 | #  | Name                     | Pos | Rank | Team | Pick | Ovrall | ADP |
16:14:57 | 01 | Patrick Mahomes          | QB  | 024  | KC   | 000  | 000    | 023 | 
16:14:57 | 02 | Lamar Jackson            | QB  | 025  | BAL  | 000  | 000    | 019 | 
16:14:57 | 03 | Dak Prescott             | QB  | 054  | DAL  | 000  | 000    | 061 | 
16:14:57 | 04 | Russell Wilson           | QB  | 060  | SEA  | 000  | 000    | 060 | 
16:14:57 | 05 | Kyler Murray             | QB  | 061  | ARI  | 000  | 000    | 056 | 
16:14:57 | 06 | Deshaun Watson           | QB  | 064  | HOU  | 000  | 000    | 057 | 
16:14:57 | 07 | Josh Allen               | QB  | 070  | BUF  | 000  | 000    | 073 | 
16:14:57 | 08 | Matt Ryan                | QB  | 076  | ATL  | 000  | 000    | 084 | 
16:14:57 | 09 | Drew Brees               | QB  | 084  | NO   | 000  | 000    | 087 | 
16:14:57 | 10 | Carson Wentz             | QB  | 086  | PHI  | 000  | 000    | 091 | 
16:14:57 | 11 | Tom Brady                | QB  | 089  | TB   | 000  | 000    | 106 | 
16:14:57 | 12 | Aaron Rodgers            | QB  | 092  | GB   | 000  | 000    | 077 | 
16:14:57 | 13 | Matthew Stafford         | QB  | 095  | DET  | 000  | 000    | 111 | 
16:14:57 | 14 | Daniel Jones             | QB  | 111  | NYG  | 000  | 000    | 112 | 
16:14:57 | 15 | Ben Roethlisberger       | QB  | 117  | PIT  | 000  | 000    | 124 | 
16:14:57 | 16 | Ryan Tannehill           | QB  | 118  | TEN  | 000  | 000    | 132 | 
16:14:57 | 17 | Baker Mayfield           | QB  | 119  | CLE  | 000  | 000    | 105 | 
16:14:57 | 18 | Jared Goff               | QB  | 122  | LAR  | 000  | 000    | 123 | 
16:14:57 | 19 | Joe Burrow               | QB  | 137  | CIN  | 000  | 000    | 166 | 
16:14:57 | 20 | Kirk Cousins             | QB  | 141  | MIN  | 000  | 000    | 120 | 
16:14:57 | #  | Name                     | Pos | Rank | Team | Pick | Ovrall | ADP |
16:14:57 | 01 | Patrick Mahomes          | QB  | 024  | KC   | 000  | 000    | 023 | 
16:14:57 | 02 | Lamar Jackson            | QB  | 025  | BAL  | 000  | 000    | 019 | 
16:14:57 | 03 | Dak Prescott             | QB  | 054  | DAL  | 000  | 000    | 061 | 
16:14:57 | 04 | Russell Wilson           | QB  | 060  | SEA  | 000  | 000    | 060 | 
16:14:57 | 05 | Kyler Murray             | QB  | 061  | ARI  | 000  | 000    | 056 | 
16:14:57 | 06 | Deshaun Watson           | QB  | 064  | HOU  | 000  | 000    | 057 | 
16:14:57 | 07 | Josh Allen               | QB  | 070  | BUF  | 000  | 000    | 073 | 
16:14:57 | 08 | Matt Ryan                | QB  | 076  | ATL  | 000  | 000    | 084 | 
16:14:57 | 09 | Drew Brees               | QB  | 084  | NO   | 000  | 000    | 087 | 
16:14:57 | 10 | Carson Wentz             | QB  | 086  | PHI  | 000  | 000    | 091 | 
16:14:57 | 11 | Tom Brady                | QB  | 089  | TB   | 000  | 000    | 106 | 
16:14:57 | 12 | Aaron Rodgers            | QB  | 092  | GB   | 000  | 000    | 077 | 
16:14:57 | 13 | Matthew Stafford         | QB  | 095  | DET  | 000  | 000    | 111 | 
16:14:57 | 14 | Daniel Jones             | QB  | 111  | NYG  | 000  | 000    | 112 | 
16:14:57 | 15 | Ben Roethlisberger       | QB  | 117  | PIT  | 000  | 000    | 124 | 
16:14:57 | 16 | Ryan Tannehill           | QB  | 118  | TEN  | 000  | 000    | 132 | 
16:14:57 | 17 | Baker Mayfield           | QB  | 119  | CLE  | 000  | 000    | 105 | 
16:14:57 | 18 | Jared Goff               | QB  | 122  | LAR  | 000  | 000    | 123 | 
16:14:57 | 19 | Joe Burrow               | QB  | 137  | CIN  | 000  | 000    | 166 | 
16:14:57 | 20 | Kirk Cousins             | QB  | 141  | MIN  | 000  | 000    | 120 | 
